縣市名稱,鄉鎮市區,街路聚落名稱
臺北市,中正區,八德路１段
臺北市,中正區,三元街
臺北市,中正區,大埔街
臺北市,中正區,中山北路１段
臺北市,中正區,中山南路
臺北市,中正區,中華路１段
臺北市,中正區,中華路２段
臺北市,中正區,丹陽街
臺北市,中正區,仁愛路１段
臺北市,中正區,仁愛路２段
臺北市,中正區,公園路
臺北市,中正區,天津街
臺北市,中正區,水源路
臺北市,中正區,北平西路
臺北市,中正區,北平東路
臺北市,中正區,市民大道１段
臺北市,中正區,市民大道２段
臺北市,中正區,市民大道３段
臺北市,中正區,永春街
臺北市,中正區,永綏街
臺北市,中正區,汀州路１段
臺北市,中正區,汀州路２段
臺北市,中正區,汀州路３段
臺北市,中正區,同安街
臺北市,中正區,自強市場第三棟
臺北市,中正區,西藏路
臺北市,中正區,沅陵街
臺北市,中正區,秀山街
臺北市,中正區,辛亥路１段
臺北市,中正區,酉陽街
臺北市,中正區,和平西路１段
臺北市,中正區,和平西路２段
臺北市,中正區,延平南路
臺北市,中正區,忠孝西路１段
臺北市,中正區,忠孝東路１段
臺北市,中正區,忠孝東路２段
臺北市,中正區,杭州北路
臺北市,中正區,杭州南路１段
臺北市,中正區,杭州南路２段
臺北市,中正區,林森北路
臺北市,中正區,林森南路
臺北市,中正區,武昌街１段
臺北市,中正區,金山北路
臺北市,中正區,金山南路１段
臺北市,中正區,金門街
臺北市,中正區,金華街
臺北市,中正區,長沙街１段
臺北市,中正區,青島西路
臺北市,中正區,青島東路
臺北市,中正區,信陽街
臺北市,中正區,信義路１段
臺北市,中正區,信義路２段
臺北市,中正區,南昌路１段
臺北市,中正區,南昌路２段
臺北市,中正區,南海路
臺北市,中正區,南陽街
臺北市,中正區,思源街
臺北市,中正區,泉州街
臺北市,中正區,牯嶺街
臺北市,中正區,重慶南路１段
臺北市,中正區,重慶南路２段
臺北市,中正區,重慶南路３段
臺北市,中正區,師大路
臺北市,中正區,徐州路
臺北市,中正區,晉江街
臺北市,中正區,桃源街
臺北市,中正區,泰安街
臺北市,中正區,常德街
臺北市,中正區,紹興北街
臺北市,中正區,紹興南街
臺北市,中正區,莒光路
臺北市,中正區,許昌街
臺北市,中正區,連雲街
臺北市,中正區,凱達格蘭大道
臺北市,中正區,博愛路
臺北市,中正區,惠安街
臺北市,中正區,湖口街
臺北市,中正區,詔安街
臺北市,中正區,貴陽街１段
臺北市,中正區,開封街１段
臺北市,中正區,廈門街
臺北市,中正區,愛國西路
臺北市,中正區,愛國東路
臺北市,中正區,新生南路１段
臺北市,中正區,寧波西街
臺北市,中正區,寧波東街
臺北市,中正區,漢口街１段
臺北市,中正區,福州街
臺北市,中正區,銅山街
臺北市,中正區,齊東街
臺北市,中正區,廣州街
臺北市,中正區,潮州街
臺北市,中正區,衡陽路
臺北市,中正區,館前路
臺北市,中正區,濟南路１段
臺北市,中正區,濟南路２段
臺北市,中正區,臨沂街
臺北市,中正區,襄陽路
臺北市,中正區,鎮江街
臺北市,中正區,懷寧街
臺北市,中正區,羅斯福路１段
臺北市,中正區,羅斯福路２段
臺北市,中正區,羅斯福路３段
臺北市,中正區,羅斯福路４段
臺北市,中正區,寶慶路
臺北市,大同區,大龍街
臺北市,大同區,五原路
臺北市,大同區,天水路
臺北市,大同區,太原路
臺北市,大同區,平陽街
臺北市,大同區,民生西路
臺北市,大同區,民族西路
臺北市,大同區,民樂街
臺北市,大同區,民權西路
臺北市,大同區,永昌街
臺北市,大同區,甘州街
臺北市,大同區,甘谷街
臺北市,大同區,伊寧街
臺北市,大同區,安西街
臺北市,大同區,西寧北路
臺北市,大同區,赤峰街
臺北市,大同區,延平北路１段
臺北市,大同區,延平北路２段
臺北市,大同區,延平北路３段
臺北市,大同區,延平北路４段
臺北市,大同區,忠孝西路２段
臺北市,大同區,承德路１段
臺北市,大同區,承德路２段
臺北市,大同區,承德路３段
臺北市,大同區,昌吉街
臺北市,大同區,長安西路
臺北市,大同區,保安街
臺北市,大同區,南京西路
臺北市,大同區,哈密街
臺北市,大同區,迪化街１段
臺北市,大同區,迪化街２段
臺北市,大同區,重慶北路１段
臺北市,大同區,重慶北路２段
臺北市,大同區,重慶北路３段
臺北市,大同區,庫倫街
臺北市,大同區,酒泉街
臺北市,大同區,涼州街
臺北市,大同區,通河西街１段
臺北市,大同區,敦煌路
臺北市,大同區,景化街
臺北市,大同區,華亭街
臺北市,大同區,華陰街
臺北市,大同區,貴德街
臺北市,大同區,塔城街
臺北市,大同區,萬全街
臺北市,大同區,寧夏路
臺北市,大同區,撫順街
臺北市,大同區,鄭州路
臺北市,大同區,興城街
臺北市,大同區,錦西街
臺北市,大同區,環河北路１段
臺北市,大同區,環河北路２段
臺北市,大同區,歸綏街
臺北市,大同區,雙連街
臺北市,大同區,蘭州街
臺北市,中山區,一江街
臺北市,中山區,八德路２段
臺北市,中山區,大直街
臺北市,中山區,中山北路２段
臺北市,中山區,中山北路３段
